3141-55008-498  331.047394    6.292428   66.235764  -37.543682  18.94   1.19  -0.07  22.86   0.25   0.86   9.17   46.6   44.7   -6.9  -33.8  -28.4 -115.8    7.7   46.4
3141-55008-477  330.606934    6.429413   66.000389  -37.124928  16.96   1.21  -0.12  26.30   0.23   0.93   9.65   19.1   18.2    1.8  -13.9  -11.6 -121.4    2.0   41.5
3141-55008-454  330.924957    7.108576   66.898819  -36.909523  17.05   1.16  -0.14  27.42   0.20   0.94   9.45   20.0   19.1    1.7  -14.7  -12.0 -275.2    2.3 -110.8
3141-55008-449  330.812134    7.425377   67.099251  -36.614384  16.05   1.14  -0.17  26.18   0.22   1.06   9.72   12.6   12.6    4.1   -9.3   -7.5    4.8    1.3  170.1
3141-55008-432  330.167633    6.321596   65.538742  -36.867428  18.35   1.25  -0.14  25.37   0.16   0.97   9.92   36.4   34.6   -4.1  -26.5  -21.8 -159.2    4.7    3.8
3141-55008-419  330.375885    7.419462   66.734512  -36.296391  16.39   1.21  -0.06  22.91   0.20   0.90   8.33   14.4   14.1    3.4  -10.6   -8.5 -171.1    1.9   -5.4
3141-55008-401  330.380737    7.128237   66.468353  -36.493710  19.12   1.24  -0.09  25.80   0.32   0.98   9.59   51.8   49.8   -8.6  -38.2  -30.8 -302.2   10.2 -137.3
3141-55008-365  330.155487    7.230328   66.379021  -36.258785  16.51   1.18  -0.05  23.00   0.22   0.83   7.67   15.2   14.7    3.1  -11.2   -9.0 -185.1    1.8  -19.8
3141-55008-200  330.074493    5.726783   64.899216  -37.186333  17.73   1.19  -0.10  25.55   0.27   0.89   9.19   27.3   25.7   -1.2  -19.7  -16.5 -187.9    3.3  -26.4
3141-55008-097  330.798920    5.458101   65.236534  -37.907768  17.17   1.17  -0.15  27.41   0.24   1.01  10.44   21.1   20.0    1.0  -15.1  -13.0  -29.2    2.5  131.0
3478-55008-051  241.184311   35.821747   57.356461   48.304852  16.45   1.16  -0.18  24.60   0.21   1.02   9.84   15.2   14.4    2.6   -8.5   11.3 -281.2    2.8 -146.1
3478-55008-071  241.634857   36.330692   58.136288   47.957394  16.03   1.24  -0.12  24.18   0.24   0.89   9.07   12.5   12.2    3.6   -7.1    9.3  -49.8    2.2   87.2
3478-55008-172  240.306824   36.495338   58.350163   49.029408  16.85   1.17  -0.24  24.68   0.23   1.03  10.51   18.2   17.2    1.7  -10.2   13.8  -79.4    3.0   55.2
3478-55008-230  239.629120   36.412632   58.214554   49.573608  16.03   1.25  -0.16  26.30   0.24   1.00  10.10   12.5   12.3    3.7   -6.9    9.5 -447.7    2.3 -314.7
3478-55008-259  239.806625   35.672684   57.079052   49.418011  18.10   1.10  -0.01  23.28   0.31   1.01  10.49   31.6   29.7   -3.2  -17.3   24.0  -75.8    8.5   56.2
3478-55008-273  239.162704   36.155624   57.811970   49.947468  17.49   1.09  -0.04  24.49   0.22   0.85   9.14   23.9   22.4   -0.2  -13.0   18.3 -328.0    4.3 -196.4
3478-55008-369  240.002197   37.728313   60.235611   49.271214  15.71   1.14  -0.24  25.10   0.22   1.11   9.50   10.5   11.0    4.6   -6.0    8.0  -74.9    2.1   61.3
3478-55008-432  240.185333   36.963516   59.063755   49.130413  15.64   1.26  -0.16  26.86   0.22   0.95   9.31   10.4   10.8    4.5   -5.8    7.9  -52.4    1.8   82.8
3478-55008-566  241.405014   37.247166   59.501842   48.159409  16.74   1.20  -0.22  26.59   0.23   1.06   9.79   17.3   16.4    2.1  -10.0   12.9  -79.5    2.6   58.7
3478-55008-594  242.006180   36.568539   58.503296   47.665779  17.57   1.09  -0.00  19.43   0.34   0.81   7.93   24.8   23.2   -0.7  -14.2   18.3   12.3    5.0  150.5
3478-55008-631  242.342896   36.880585   58.976307   47.404568  17.06   1.20  -0.10  25.15   0.23   0.92   8.39   20.1   18.8    1.0  -11.6   14.8 -358.7    3.0 -219.3
3459-55007-009  245.691696   30.283575   49.972298   43.968136  16.04   1.18  -0.23  26.68   0.22   1.02   9.96   12.5   11.3    2.2   -6.9    8.7 -181.0    2.2  -47.3
3459-55007-053  245.317123   30.540813   50.250549   44.329594  17.08   1.13  -0.20  27.41   0.21   1.00  10.05   19.8   17.6   -1.0  -10.9   13.8  -70.5    3.3   63.0
3459-55007-114  244.737488   29.849661   49.177105   44.707577  17.28   1.29  -0.11  25.55   0.22   0.93   9.77   22.2   19.8   -2.3  -11.9   15.6 -142.4    3.8  -11.6
3459-55007-128  244.529984   30.777353   50.427330   45.035740  16.91   1.14  -0.17  25.98   0.23   0.95  10.20   18.7   16.7   -0.4  -10.2   13.2 -143.3    2.9  -11.0
3459-55007-167  244.068420   30.754622   50.309052   45.424160  17.59   1.18  -0.23  25.56   0.23   1.13  10.42   25.6   23.2   -3.5  -13.8   18.3 -179.2    4.5  -48.0
3459-55007-215  243.727661   30.972916   50.555180   45.745937  16.95   1.22  -0.15  27.12   0.23   1.04  10.26   19.1   17.1   -0.4  -10.3   13.6 -238.4    2.8 -107.4
3459-55007-235  244.037918   30.183495   49.499966   45.360500  16.73   1.19  -0.12  26.56   0.23   0.92   9.75   17.2   15.3    0.1   -9.2   12.2 -166.2    2.7  -36.2
3459-55007-236  244.090195   30.317383   49.698330   45.337452  17.60   1.25  -0.10  25.49   0.27   0.95   9.15   25.7   23.2   -3.7  -13.8   18.3 -145.0    4.5  -14.6
3459-55007-634  245.967117   31.973604   52.343483   44.001343  16.40   1.11  -0.28  25.74   0.22   1.14   9.55   14.5   13.1    1.6   -8.2   10.0  -87.1    2.5   50.5
3459-55007-588  245.395645   32.111668   52.438778   44.500393  16.75   1.22  -0.25  26.15   0.24   1.06   9.60   17.4   15.6    0.4   -9.8   12.2  -51.8    2.6   84.9
